filename,title,feature,role,level
./help/lead-and-data-management/lead-scoring-watch.md,How to build a lead scoring program,"Engagement Programs, Person Scoring",User,Beginner
./help/lead-and-data-management/subscription-center-learn.md,Learn about setting up and managing a subscription center,Deliverability,User,Beginner
./help/lead-and-data-management/subscription-center-watch.md,How to set up and manage a subscription center,Deliverability,User,Beginner
./help/lead-and-data-management/crm-sync-learn.md,Learn about syncing [!DNL Marketo] to your CRM,Getting Started,User,Beginner
./help/lead-and-data-management/lead-lifecycle-learn.md,Learn about building a lead lifecycle program,Programs,User,Beginner
./help/lead-and-data-management/lead-lifecycle-watch.md,How to build a lead lifecycle program,Programs,User,Beginner
./help/events/events-watch.md,Create an event program,"Programs, Events",User,Beginner
./help/events/events-learn.md,Learn about creating an event program,"Programs, Events",User,Beginner
./help/events/webinar-learn.md,Learn about creating and running a webinar program,"Programs, Events",User,Beginner
./help/events/webinar-watch.md,Create and run a webinar program,"Programs, Events",User,Beginner
./help/events/design-an-effective-interactive-webinar.md,Design an Effective Interactive Webinar,"Programs, Events",User,Beginner
./help/reporting/reporting-and-analytics.md,Reporting and analytics,Reporting,User,Beginner
./help/reporting/key-reports.md,Key Reports within Marketo Engage,Reporting,User,Beginner
